bid;ask;tick;SpreadNominal;SpreadTick;Symbol;time;instrument
   70,10;   70,50;0,01;  0,40; 40;DOJun20A;2020-06-11T13:18:01Z;DO
  125,00;  125,50;0,05;  0,50; 10;GGALJun20;2020-06-11T13:18:01Z;GGAL
 1736,00; 1755,00;0,10; 19,00;190;OROJul20;2020-06-11T13:18:01Z;ORO
61300,00;61335,00;5,00; 35,00;  7;RFX20Jun20;2020-06-11T13:18:01Z;RFX20
   37,12;   37,20;0,01;  0,08;  8;WTIJul20;2020-06-11T13:18:01Z;WTI
   70,10;   70,50;0,01;  0,40; 40;DOJun20A;2020-06-11T13:18:07Z;DO
  125,00;  125,50;0,05;  0,50; 10;GGALJun20;2020-06-11T13:18:07Z;GGAL
 1736,00; 1755,00;0,10; 19,00;190;OROJul20;2020-06-11T13:18:07Z;ORO
61300,00;61335,00;5,00; 35,00;  7;RFX20Jun20;2020-06-11T13:18:07Z;RFX20
   37,10;   37,20;0,01;  0,10; 10;WTIJul20;2020-06-11T13:18:07Z;WTI
   70,10;   70,50;0,01;  0,40; 40;DOJun20A;2020-06-11T13:18:14Z;DO
  125,00;  125,50;0,05;  0,50; 10;GGALJun20;2020-06-11T13:18:14Z;GGAL
 1736,00; 1755,00;0,10; 19,00;190;OROJul20;2020-06-11T13:18:14Z;ORO
61300,00;61350,00;5,00; 50,00; 10;RFX20Jun20;2020-06-11T13:18:14Z;RFX20
   37,10;   37,45;0,01;  0,35; 35;WTIJul20;2020-06-11T13:18:14Z;WTI
   70,10;   70,50;0,01;  0,40; 40;DOJun20A;2020-06-11T13:18:20Z;DO
  125,00;  125,50;0,05;  0,50; 10;GGALJun20;2020-06-11T13:18:20Z;GGAL
 1736,00; 1755,00;0,10; 19,00;190;OROJul20;2020-06-11T13:18:20Z;ORO
61300,00;61335,00;5,00; 35,00;  7;RFX20Jun20;2020-06-11T13:18:20Z;RFX20
   37,10;   37,44;0,01;  0,34; 34;WTIJul20;2020-06-11T13:18:20Z;WTI
   70,10;   70,50;0,01;  0,40; 40;DOJun20A;2020-06-11T13:18:27Z;DO
  125,30;  125,50;0,05;  0,20;  4;GGALJun20;2020-06-11T13:18:27Z;GGAL
 1736,00; 1755,00;0,10; 19,00;190;OROJul20;2020-06-11T13:18:27Z;ORO
61300,00;61335,00;5,00; 35,00;  7;RFX20Jun20;2020-06-11T13:18:27Z;RFX20
   37,10;   37,43;0,01;  0,33; 33;WTIJul20;2020-06-11T13:18:27Z;WTI
   70,10;   70,50;0,01;  0,40; 40;DOJun20A;2020-06-11T13:18:33Z;DO
  125,30;  125,50;0,05;  0,20;  4;GGALJun20;2020-06-11T13:18:33Z;GGAL
 1736,00; 1755,00;0,10; 19,00;190;OROJul20;2020-06-11T13:18:33Z;ORO
61310,00;61335,00;5,00; 25,00;  5;RFX20Jun20;2020-06-11T13:18:33Z;RFX20
   37,10;   37,20;0,01;  0,10; 10;WTIJul20;2020-06-11T13:18:33Z;WTI
   70,10;   70,50;0,01;  0,40; 40;DOJun20A;2020-06-11T13:18:40Z;DO
  125,30;  125,50;0,05;  0,20;  4;GGALJun20;2020-06-11T13:18:40Z;GGAL
 1736,00; 1755,00;0,10; 19,00;190;OROJul20;2020-06-11T13:18:40Z;ORO
61310,00;61335,00;5,00; 25,00;  5;RFX20Jun20;2020-06-11T13:18:40Z;RFX20
   37,10;   37,20;0,01;  0,10; 10;WTIJul20;2020-06-11T13:18:40Z;WTI
   70,10;   70,50;0,01;  0,40; 40;DOJun20A;2020-06-11T13:18:47Z;DO
  125,30;  125,50;0,05;  0,20;  4;GGALJun20;2020-06-11T13:18:47Z;GGAL
 1736,00; 1755,00;0,10; 19,00;190;OROJul20;2020-06-11T13:18:47Z;ORO
61350,00;61440,00;5,00; 90,00; 18;RFX20Jun20;2020-06-11T13:18:47Z;RFX20
   37,11;   37,20;0,01;  0,09;  9;WTIJul20;2020-06-11T13:18:47Z;WTI
   70,10;   70,50;0,01;  0,40; 40;DOJun20A;2020-06-11T13:18:53Z;DO
  125,30;  125,50;0,05;  0,20;  4;GGALJun20;2020-06-11T13:18:53Z;GGAL
 1736,00; 1755,00;0,10; 19,00;190;OROJul20;2020-06-11T13:18:53Z;ORO
61350,00;61440,00;5,00; 90,00; 18;RFX20Jun20;2020-06-11T13:18:53Z;RFX20
